      Lon      Lat    Year    TrBE   TrIBE    TrBR     C3G     C4G TrShrub   Total
   -16.40    19.80    1981    2.66    4.49    4.10    0.26    1.55    1.30   14.36
   -16.40    19.80    1982    2.96    5.12    3.39    0.18    1.23    0.78   13.66
   -16.40    19.80    1983    3.10    5.61    3.16    0.02    0.62    0.98   13.49
   -16.40    19.80    1984    2.82    4.98    2.07    0.00    0.16    0.52   10.54
   -16.40    19.80    1985    2.25    4.54    1.58    0.00    0.06    0.25    8.68
   -16.40    19.80    1986    1.58    3.22    1.82    0.00    0.12    0.26    6.99
   -16.40    19.80    1987    1.38    2.80    1.75    0.00    0.10    0.27    6.30
   -16.40    19.80    1988    1.45    2.86    3.73    0.00    0.34    0.71    9.08
   -16.40    19.80    1989    1.90    3.63    4.28    0.00    0.87    1.21   11.88
   -16.40    19.80    1990    3.19    5.95    5.96    0.92    1.41    2.19   19.61
   -16.40    19.80    1991    3.58    6.46    4.78    0.00    2.03    1.18   18.03
   -16.40    19.80    1992    4.33    7.50    5.57    0.44    2.68    1.69   22.21
   -16.40    19.80    1993    4.74    8.00    3.80    0.37    3.97    1.36   22.23
   -16.40    19.80    1994    5.13    8.47    4.09    0.01    3.96    1.43   23.09
   -16.40    19.80    1995    5.27    8.23    3.51    0.20    1.95    1.23   20.39
   -16.40    19.80    1996    5.26    7.82    3.15    0.02    1.73    1.10   19.07
   -16.40    19.80    1997    4.61    6.62    2.28    0.00    0.72    0.67   14.90
   -16.40    19.80    1998    4.10    5.17    2.70    0.00    2.33    0.99   15.30
   -16.40    19.80    1999    4.26    5.26    2.97    0.00    4.25    1.14   17.88
   -16.40    19.80    2000    4.01    5.10    1.80    0.08    1.41    0.59   12.99
   -16.40    19.80    2001    3.76    5.42    1.83    0.41    2.48    0.71   14.61
   -16.40    19.80    2002    2.80    4.18    1.40    0.01    0.69    0.37    9.45
   -16.40    19.80    2003    2.52    4.04    1.20    0.09    0.96    0.36    9.17
   -16.40    19.80    2004    2.29    3.51    1.63    0.01    2.65    0.54   10.64
   -16.40    19.80    2005    3.10    4.89    3.17    1.77   15.10    1.25   29.27
   -16.40    19.80    2006    2.76    4.15    2.05    0.11    6.55    1.07   16.68
   -16.40    19.80    2007    4.17    6.27    1.41    0.19    1.24    0.54   13.82
   -16.40    19.80    2008    4.16    6.27    1.09    0.07    1.20    0.49   13.29
   -16.40    19.80    2009    3.79    6.13    0.91    0.06    0.63    0.34   11.86
   -16.40    19.80    2010    3.61    6.22    1.09    0.27    1.22    0.39   12.79
   -16.40    19.80    2011    3.61    6.01    1.73    0.02    0.86    0.78   13.01
   -16.40    19.80    2012    4.19    6.73    1.28    0.04    0.81    0.61   13.66
   -16.40    19.80    2013    4.78    7.23    1.75    0.00    1.41    0.99   16.17
   -16.40    19.80    2014    5.34    7.44    1.71    0.33    0.84    0.86   16.50
   -16.40    19.80    2015    5.86    8.40    1.25    0.57    1.05    0.70   17.82
   -16.40    19.80    2016    5.73    8.60    1.28    0.03    1.06    0.79   17.48
   -16.40    19.80    2017    6.41    9.39    1.28    0.06    1.67    0.97   19.77
   -16.40    19.80    2018    6.67    9.74    1.38    0.00    1.84    1.17   20.80
   -16.40    19.80    2019    6.47    9.42    1.16    0.19    1.93    0.91   20.08
