      Lon      Lat    Year    TrBE   TrIBE    TrBR     C3G     C4G TrShrub   Total
   -16.40    19.80    1981   0.002   0.004   0.004  -0.000   0.002   0.001   0.014
   -16.40    19.80    1982   0.002   0.004   0.003  -0.000   0.002   0.001   0.012
   -16.40    19.80    1983   0.002   0.003   0.003  -0.000   0.001   0.001   0.010
   -16.40    19.80    1984   0.001   0.002   0.002  -0.000   0.000   0.000   0.006
   -16.40    19.80    1985   0.001   0.002   0.001  -0.000   0.000   0.000   0.004
   -16.40    19.80    1986   0.001   0.002   0.002  -0.000   0.000   0.000   0.005
   -16.40    19.80    1987   0.001   0.001   0.002  -0.000   0.000   0.000   0.004
   -16.40    19.80    1988   0.001   0.003   0.004  -0.000   0.000   0.001   0.010
   -16.40    19.80    1989   0.002   0.005   0.005   0.000   0.001   0.002   0.015
   -16.40    19.80    1990   0.003   0.005   0.005  -0.001   0.002   0.002   0.016
   -16.40    19.80    1991   0.003   0.006   0.005  -0.000   0.004   0.001   0.020
   -16.40    19.80    1992   0.004   0.007   0.005  -0.001   0.005   0.001   0.021
   -16.40    19.80    1993   0.004   0.007   0.005  -0.001   0.007   0.002   0.025
   -16.40    19.80    1994   0.004   0.007   0.004  -0.000   0.006   0.001   0.022
   -16.40    19.80    1995   0.004   0.006   0.003  -0.000   0.003   0.001   0.016
   -16.40    19.80    1996   0.003   0.005   0.003  -0.000   0.003   0.001   0.015
   -16.40    19.80    1997   0.002   0.003   0.002  -0.000   0.001   0.001   0.009
   -16.40    19.80    1998   0.003   0.004   0.003  -0.000   0.004   0.001   0.016
   -16.40    19.80    1999   0.003   0.004   0.003  -0.000   0.007   0.001   0.019
   -16.40    19.80    2000   0.002   0.003   0.002  -0.000   0.003   0.001   0.010
   -16.40    19.80    2001   0.002   0.006   0.002  -0.000   0.001   0.001   0.011
   -16.40    19.80    2002   0.002   0.003   0.002  -0.000   0.001   0.000   0.007
   -16.40    19.80    2003   0.001   0.002   0.002  -0.000   0.002   0.001   0.007
   -16.40    19.80    2004   0.003   0.003   0.002  -0.000   0.004   0.001   0.013
   -16.40    19.80    2005   0.003   0.007   0.003  -0.002   0.016   0.001   0.029
   -16.40    19.80    2006   0.006   0.008   0.005  -0.000   0.008   0.002   0.030
   -16.40    19.80    2007   0.003   0.004   0.001  -0.000   0.002   0.001   0.012
   -16.40    19.80    2008   0.003   0.005   0.001  -0.000   0.001   0.000   0.010
   -16.40    19.80    2009   0.002   0.005   0.001  -0.000   0.000   0.000   0.008
   -16.40    19.80    2010   0.002   0.004   0.001  -0.000   0.001   0.001   0.009
   -16.40    19.80    2011   0.003   0.005   0.002  -0.000   0.001   0.001   0.012
   -16.40    19.80    2012   0.004   0.005   0.002  -0.001   0.001   0.001   0.012
   -16.40    19.80    2013   0.004   0.006   0.002  -0.000   0.001   0.001   0.015
   -16.40    19.80    2014   0.005   0.007   0.002  -0.000   0.001   0.001   0.016
   -16.40    19.80    2015   0.005   0.007   0.002  -0.000   0.002   0.001   0.016
   -16.40    19.80    2016   0.005   0.007   0.002  -0.000   0.002   0.001   0.017
   -16.40    19.80    2017   0.006   0.008   0.002  -0.001   0.003   0.001   0.019
   -16.40    19.80    2018   0.006   0.008   0.002  -0.000   0.003   0.001   0.020
   -16.40    19.80    2019   0.005   0.007   0.001  -0.000   0.001   0.001   0.015
