      Lon      Lat    Year     Veg    Repr    Soil      Fire     Est       NEE
   -16.40    19.80    1981  -0.014   0.001   0.015   0.00000  -0.004  -0.00203
   -16.40    19.80    1982  -0.012   0.001   0.013   0.00000  -0.004  -0.00201
   -16.40    19.80    1983  -0.010   0.001   0.014   0.00000  -0.002   0.00418
   -16.40    19.80    1984  -0.006   0.001   0.013   0.00000  -0.003   0.00401
   -16.40    19.80    1985  -0.004   0.000   0.012   0.00000  -0.000   0.00781
   -16.40    19.80    1986  -0.005   0.000   0.011   0.00000  -0.000   0.00607
   -16.40    19.80    1987  -0.004   0.000   0.009   0.00000  -0.000   0.00548
   -16.40    19.80    1988  -0.010   0.001   0.008   0.00000   0.000  -0.00042
   -16.40    19.80    1989  -0.015   0.002   0.008   0.00000  -0.006  -0.01170
   -16.40    19.80    1990  -0.016   0.002   0.008   0.00000  -0.000  -0.00613
   -16.40    19.80    1991  -0.020   0.002   0.013   0.00000  -0.002  -0.00732
   -16.40    19.80    1992  -0.021   0.002   0.011   0.00000  -0.003  -0.01116
   -16.40    19.80    1993  -0.025   0.003   0.015   0.00000  -0.001  -0.00798
   -16.40    19.80    1994  -0.022   0.002   0.016   0.00000  -0.005  -0.00846
   -16.40    19.80    1995  -0.016   0.002   0.017   0.00000  -0.000   0.00252
   -16.40    19.80    1996  -0.015   0.002   0.020   0.00000   0.000   0.00621
   -16.40    19.80    1997  -0.009   0.001   0.017   0.00000  -0.001   0.00829
   -16.40    19.80    1998  -0.016   0.002   0.016   0.00000  -0.002  -0.00046
   -16.40    19.80    1999  -0.019   0.002   0.015   0.00000  -0.004  -0.00614
   -16.40    19.80    2000  -0.010   0.001   0.014   0.00000  -0.040  -0.03487
   -16.40    19.80    2001  -0.011   0.001   0.018   0.00000  -0.002   0.00638
   -16.40    19.80    2002  -0.007   0.001   0.016   0.00000  -0.001   0.00827
   -16.40    19.80    2003  -0.007   0.001   0.018   0.00000  -0.002   0.00956
   -16.40    19.80    2004  -0.013   0.001   0.016   0.00000  -0.045  -0.03998
   -16.40    19.80    2005  -0.029   0.003   0.019   0.00000  -0.001  -0.00862
   -16.40    19.80    2006  -0.030   0.003   0.024   0.00000  -0.009  -0.01094
   -16.40    19.80    2007  -0.012   0.001   0.026   0.00000  -0.020  -0.00394
   -16.40    19.80    2008  -0.010   0.001   0.029   0.00000  -0.021  -0.00126
   -16.40    19.80    2009  -0.008   0.001   0.026   0.00000  -0.002   0.01681
   -16.40    19.80    2010  -0.009   0.001   0.023   0.00000  -0.001   0.01398
   -16.40    19.80    2011  -0.012   0.001   0.020   0.00000  -0.004   0.00536
   -16.40    19.80    2012  -0.012   0.001   0.018   0.00000  -0.001   0.00758
   -16.40    19.80    2013  -0.015   0.001   0.022   0.00000  -0.003   0.00524
   -16.40    19.80    2014  -0.016   0.002   0.018   0.00000  -0.003   0.00106
   -16.40    19.80    2015  -0.016   0.002   0.017   0.00000  -0.000   0.00204
   -16.40    19.80    2016  -0.017   0.002   0.016   0.00000  -0.004  -0.00273
   -16.40    19.80    2017  -0.019   0.002   0.017   0.00000  -0.001  -0.00041
   -16.40    19.80    2018  -0.020   0.002   0.017   0.00000  -0.026  -0.02667
   -16.40    19.80    2019  -0.015   0.002   0.017   0.00000  -0.000   0.00331
