      Lon      Lat    Year    TrBE   TrIBE    TrBR     C3G     C4G TrShrub   Total
   -16.40    19.80    1981   0.011   0.022   0.014   0.005   0.002   0.002   0.057
   -16.40    19.80    1982   0.012   0.024   0.016   0.001   0.003   0.003   0.059
   -16.40    19.80    1983   0.012   0.025   0.016   0.000   0.002   0.003   0.058
   -16.40    19.80    1984   0.012   0.025   0.017   0.000   0.001   0.002   0.056
   -16.40    19.80    1985   0.011   0.023   0.015   0.000   0.000   0.002   0.051
   -16.40    19.80    1986   0.009   0.019   0.015   0.000   0.000   0.001   0.045
   -16.40    19.80    1987   0.009   0.018   0.014   0.000   0.000   0.001   0.043
   -16.40    19.80    1988   0.010   0.019   0.015   0.000   0.000   0.001   0.045
   -16.40    19.80    1989   0.011   0.021   0.017   0.006   0.001   0.002   0.059
   -16.40    19.80    1990   0.013   0.024   0.019   0.000   0.002   0.002   0.060
   -16.40    19.80    1991   0.015   0.027   0.020   0.002   0.004   0.003   0.071
   -16.40    19.80    1992   0.016   0.029   0.021   0.003   0.005   0.003   0.077
   -16.40    19.80    1993   0.018   0.032   0.022   0.000   0.008   0.004   0.084
   -16.40    19.80    1994   0.019   0.034   0.023   0.003   0.007   0.003   0.090
   -16.40    19.80    1995   0.019   0.033   0.023   0.000   0.005   0.003   0.084
   -16.40    19.80    1996   0.019   0.032   0.023   0.000   0.004   0.003   0.082
   -16.40    19.80    1997   0.018   0.030   0.022   0.000   0.003   0.003   0.076
   -16.40    19.80    1998   0.016   0.025   0.021   0.000   0.006   0.003   0.071
   -16.40    19.80    1999   0.017   0.026   0.022   0.004   0.008   0.003   0.079
   -16.40    19.80    2000   0.018   0.031   0.026   0.011   0.018   0.005   0.108
   -16.40    19.80    2001   0.017   0.031   0.023   0.003   0.007   0.004   0.085
   -16.40    19.80    2002   0.014   0.022   0.020   0.001   0.003   0.002   0.061
   -16.40    19.80    2003   0.014   0.020   0.018   0.000   0.005   0.002   0.059
   -16.40    19.80    2004   0.016   0.027   0.023   0.012   0.020   0.005   0.103
   -16.40    19.80    2005   0.016   0.028   0.020   0.002   0.017   0.003   0.086
   -16.40    19.80    2006   0.020   0.029   0.018   0.008   0.010   0.003   0.088
   -16.40    19.80    2007   0.021   0.032   0.019   0.007   0.011   0.004   0.094
   -16.40    19.80    2008   0.021   0.036   0.020   0.007   0.010   0.004   0.098
   -16.40    19.80    2009   0.020   0.034   0.016   0.002   0.003   0.003   0.078
   -16.40    19.80    2010   0.019   0.031   0.016   0.000   0.001   0.003   0.070
   -16.40    19.80    2011   0.020   0.031   0.015   0.004   0.001   0.002   0.073
   -16.40    19.80    2012   0.021   0.032   0.016   0.000   0.001   0.002   0.073
   -16.40    19.80    2013   0.023   0.034   0.016   0.002   0.002   0.003   0.080
   -16.40    19.80    2014   0.025   0.037   0.017   0.002   0.002   0.003   0.085
   -16.40    19.80    2015   0.026   0.039   0.017   0.000   0.002   0.003   0.088
   -16.40    19.80    2016   0.025   0.038   0.016   0.004   0.002   0.003   0.087
   -16.40    19.80    2017   0.027   0.041   0.016   0.000   0.003   0.003   0.091
   -16.40    19.80    2018   0.029   0.046   0.019   0.010   0.010   0.005   0.118
   -16.40    19.80    2019   0.029   0.045   0.018   0.002   0.004   0.004   0.103
