      Lon      Lat    Year    VegC LitterC   SoilC     Total
   -16.40    19.80    1981   0.057   0.035   0.132     0.224
   -16.40    19.80    1982   0.059   0.035   0.132     0.226
   -16.40    19.80    1983   0.058   0.032   0.132     0.221
   -16.40    19.80    1984   0.056   0.029   0.132     0.217
   -16.40    19.80    1985   0.051   0.027   0.132     0.210
   -16.40    19.80    1986   0.045   0.027   0.132     0.204
   -16.40    19.80    1987   0.043   0.025   0.131     0.198
   -16.40    19.80    1988   0.045   0.024   0.130     0.199
   -16.40    19.80    1989   0.059   0.023   0.129     0.210
   -16.40    19.80    1990   0.060   0.028   0.128     0.216
   -16.40    19.80    1991   0.071   0.024   0.129     0.224
   -16.40    19.80    1992   0.077   0.028   0.129     0.235
   -16.40    19.80    1993   0.084   0.028   0.130     0.243
   -16.40    19.80    1994   0.090   0.030   0.132     0.251
   -16.40    19.80    1995   0.084   0.032   0.133     0.249
   -16.40    19.80    1996   0.082   0.026   0.134     0.243
   -16.40    19.80    1997   0.076   0.024   0.134     0.234
   -16.40    19.80    1998   0.071   0.030   0.134     0.235
   -16.40    19.80    1999   0.079   0.028   0.134     0.241
   -16.40    19.80    2000   0.108   0.034   0.133     0.276
   -16.40    19.80    2001   0.085   0.050   0.134     0.269
   -16.40    19.80    2002   0.061   0.065   0.135     0.261
   -16.40    19.80    2003   0.059   0.057   0.136     0.252
   -16.40    19.80    2004   0.103   0.053   0.136     0.292
   -16.40    19.80    2005   0.086   0.078   0.136     0.300
   -16.40    19.80    2006   0.088   0.085   0.138     0.311
   -16.40    19.80    2007   0.094   0.080   0.141     0.315
   -16.40    19.80    2008   0.098   0.074   0.144     0.316
   -16.40    19.80    2009   0.078   0.076   0.145     0.299
   -16.40    19.80    2010   0.070   0.070   0.145     0.285
   -16.40    19.80    2011   0.073   0.064   0.143     0.280
   -16.40    19.80    2012   0.073   0.058   0.142     0.273
   -16.40    19.80    2013   0.080   0.046   0.142     0.267
   -16.40    19.80    2014   0.085   0.041   0.140     0.266
   -16.40    19.80    2015   0.088   0.037   0.139     0.264
   -16.40    19.80    2016   0.087   0.042   0.138     0.267
   -16.40    19.80    2017   0.091   0.039   0.137     0.267
   -16.40    19.80    2018   0.118   0.039   0.137     0.294
   -16.40    19.80    2019   0.103   0.050   0.137     0.291
