      Lon      Lat    Year    TrBE   TrIBE    TrBR     C3G     C4G TrShrub   Total
   -16.40    19.80    1981    29.0    30.0    18.7    42.8    20.8    21.3    26.5
   -16.40    19.80    1982    30.4    32.2    21.8    20.5    23.6    28.9    27.6
   -16.40    19.80    1983    29.3    30.1    23.2    18.9    23.7    31.2    27.7
   -16.40    19.80    1984    28.7    31.4    24.7    29.6    19.1    27.8    28.3
   -16.40    19.80    1985    27.3    28.7    20.9    23.6    19.0    22.9    25.3
   -16.40    19.80    1986    26.2    26.8    18.2    27.9    16.5    18.1    22.7
   -16.40    19.80    1987    25.9    26.1    17.0    43.7    15.6    18.4    21.8
   -16.40    19.80    1988    25.7    25.8    16.4     0.0    15.9    17.1    21.0
   -16.40    19.80    1989    28.0    28.5    18.5    33.0    25.1    22.9    26.1
   -16.40    19.80    1990    31.6    32.1    22.6    15.3    19.4    25.7    27.2
   -16.40    19.80    1991    28.7    28.9    20.8    40.5    23.7    27.0    26.7
   -16.40    19.80    1992    31.8    31.8    22.9    42.0    28.8    30.1    30.0
   -16.40    19.80    1993    30.2    30.7    23.5    38.4    29.3    25.7    28.7
   -16.40    19.80    1994    31.6    31.1    26.6    44.4    37.0    33.0    31.9
   -16.40    19.80    1995    32.8    32.3    25.8    17.7    38.2    27.6    31.2
   -16.40    19.80    1996    31.0    30.6    26.2    16.2    32.0    28.5    29.9
   -16.40    19.80    1997    29.3    28.9    21.7    17.4    36.2    26.1    27.7
   -16.40    19.80    1998    27.7    27.9    19.6    44.6    21.7    24.4    24.5
   -16.40    19.80    1999    30.1    30.2    19.1    42.8    26.8    27.9    27.8
   -16.40    19.80    2000    32.6    36.2    26.9    40.1    40.6    35.2    35.5
   -16.40    19.80    2001    31.5    35.2    27.6    44.3    31.5    30.9    32.7
   -16.40    19.80    2002    31.5    39.1    18.6    44.4    24.0    22.4    29.7
   -16.40    19.80    2003    29.2    34.2    16.6    44.6    25.3    18.2    25.8
   -16.40    19.80    2004    34.0    43.6    22.8    43.2    35.8    31.5    36.0
   -16.40    19.80    2005    39.6    46.6    21.0    44.6    30.0    25.3    33.6
   -16.40    19.80    2006    36.5    41.1    22.3    44.4    33.5    25.3    35.4
   -16.40    19.80    2007    44.2    45.7    33.0    38.9    40.1    35.6    41.5
   -16.40    19.80    2008    41.2    44.4    34.0    42.2    37.7    36.8    41.0
   -16.40    19.80    2009    36.9    43.2    23.7    42.8    32.9    23.4    37.5
   -16.40    19.80    2010    31.3    37.3    18.3    44.6    22.8    21.5    30.7
   -16.40    19.80    2011    29.8    32.3    18.3    43.1    27.8    25.7    30.3
   -16.40    19.80    2012    30.1    32.1    18.4    20.6    18.3    23.4    27.8
   -16.40    19.80    2013    28.8    29.7    21.7    36.8    20.1    24.5    27.8
   -16.40    19.80    2014    31.6    32.1    21.2    35.3    21.7    28.6    30.0
   -16.40    19.80    2015    29.2    29.8    25.0    37.3    18.0    28.5    27.9
   -16.40    19.80    2016    28.0    28.4    22.1    42.9    19.1    22.9    27.5
   -16.40    19.80    2017    30.3    30.4    20.3    21.6    18.2    26.8    27.6
   -16.40    19.80    2018    31.1    31.8    27.1    44.5    34.1    30.2    32.7
   -16.40    19.80    2019    30.7    31.7    22.4    35.4    29.5    26.7    30.3
