      Lon      Lat    Year    TrBE   TrIBE    TrBR     C3G     C4G TrShrub   Total
   -16.40    19.80    1981  0.0210  0.0462  0.0145  0.0000  0.0000  0.0029  0.0845
   -16.40    19.80    1982  0.0227  0.0499  0.0186  0.0000  0.0000  0.0059  0.0972
   -16.40    19.80    1983  0.0243  0.0515  0.0207  0.0000  0.0000  0.0069  0.1033
   -16.40    19.80    1984  0.0254  0.0563  0.0245  0.0000  0.0000  0.0086  0.1148
   -16.40    19.80    1985  0.0257  0.0554  0.0232  0.0000  0.0000  0.0075  0.1118
   -16.40    19.80    1986  0.0227  0.0466  0.0215  0.0000  0.0000  0.0051  0.0960
   -16.40    19.80    1987  0.0228  0.0457  0.0197  0.0000  0.0000  0.0043  0.0925
   -16.40    19.80    1988  0.0219  0.0432  0.0189  0.0000  0.0000  0.0030  0.0870
   -16.40    19.80    1989  0.0221  0.0431  0.0189  0.0000  0.0000  0.0029  0.0869
   -16.40    19.80    1990  0.0223  0.0428  0.0189  0.0000  0.0000  0.0029  0.0868
   -16.40    19.80    1991  0.0223  0.0427  0.0189  0.0000  0.0000  0.0029  0.0867
   -16.40    19.80    1992  0.0225  0.0427  0.0188  0.0000  0.0000  0.0029  0.0869
   -16.40    19.80    1993  0.0230  0.0438  0.0197  0.0000  0.0000  0.0033  0.0899
   -16.40    19.80    1994  0.0248  0.0453  0.0207  0.0000  0.0000  0.0040  0.0948
   -16.40    19.80    1995  0.0255  0.0449  0.0206  0.0000  0.0000  0.0036  0.0945
   -16.40    19.80    1996  0.0255  0.0445  0.0203  0.0000  0.0000  0.0033  0.0937
   -16.40    19.80    1997  0.0255  0.0439  0.0195  0.0000  0.0000  0.0031  0.0919
   -16.40    19.80    1998  0.0211  0.0309  0.0155  0.0000  0.0000  0.0027  0.0702
   -16.40    19.80    1999  0.0221  0.0333  0.0153  0.0000  0.0000  0.0027  0.0734
   -16.40    19.80    2000  0.0273  0.0501  0.0299  0.0000  0.0000  0.0160  0.1233
   -16.40    19.80    2001  0.0273  0.0495  0.0267  0.0000  0.0000  0.0121  0.1157
   -16.40    19.80    2002  0.0216  0.0331  0.0183  0.0000  0.0000  0.0023  0.0753
   -16.40    19.80    2003  0.0217  0.0326  0.0123  0.0000  0.0000  0.0016  0.0683
   -16.40    19.80    2004  0.0265  0.0517  0.0263  0.0000  0.0000  0.0160  0.1205
   -16.40    19.80    2005  0.0261  0.0526  0.0201  0.0000  0.0000  0.0016  0.1005
   -16.40    19.80    2006  0.0255  0.0504  0.0093  0.0000  0.0000  0.0014  0.0865
   -16.40    19.80    2007  0.0287  0.0604  0.0147  0.0000  0.0000  0.0083  0.1121
   -16.40    19.80    2008  0.0321  0.0688  0.0196  0.0000  0.0000  0.0137  0.1342
   -16.40    19.80    2009  0.0350  0.0729  0.0138  0.0000  0.0000  0.0071  0.1287
   -16.40    19.80    2010  0.0333  0.0657  0.0143  0.0000  0.0000  0.0083  0.1217
   -16.40    19.80    2011  0.0333  0.0650  0.0093  0.0000  0.0000  0.0024  0.1099
   -16.40    19.80    2012  0.0342  0.0657  0.0091  0.0000  0.0000  0.0024  0.1115
   -16.40    19.80    2013  0.0355  0.0661  0.0091  0.0000  0.0000  0.0023  0.1130
   -16.40    19.80    2014  0.0365  0.0665  0.0090  0.0000  0.0000  0.0028  0.1147
   -16.40    19.80    2015  0.0365  0.0661  0.0089  0.0000  0.0000  0.0027  0.1143
   -16.40    19.80    2016  0.0335  0.0645  0.0075  0.0000  0.0000  0.0025  0.1080
   -16.40    19.80    2017  0.0343  0.0658  0.0081  0.0000  0.0000  0.0029  0.1111
   -16.40    19.80    2018  0.0378  0.0755  0.0159  0.0000  0.0000  0.0104  0.1395
   -16.40    19.80    2019  0.0382  0.0751  0.0155  0.0000  0.0000  0.0093  0.1381
