      Lon      Lat    Year     Total
   -16.40    19.80    1981     0.004
   -16.40    19.80    1982     0.000
   -16.40    19.80    1983     0.000
   -16.40    19.80    1984     0.000
   -16.40    19.80    1985     0.000
   -16.40    19.80    1986     0.000
   -16.40    19.80    1987     0.000
   -16.40    19.80    1988     0.000
   -16.40    19.80    1989     0.000
   -16.40    19.80    1990     0.001
   -16.40    19.80    1991     0.000
   -16.40    19.80    1992     0.000
   -16.40    19.80    1993     0.000
   -16.40    19.80    1994     0.000
   -16.40    19.80    1995     0.000
   -16.40    19.80    1996     0.000
   -16.40    19.80    1997     0.000
   -16.40    19.80    1998     0.000
   -16.40    19.80    1999     0.000
   -16.40    19.80    2000     0.000
   -16.40    19.80    2001     0.000
   -16.40    19.80    2002     0.000
   -16.40    19.80    2003     0.000
   -16.40    19.80    2004     0.000
   -16.40    19.80    2005     0.000
   -16.40    19.80    2006     0.000
   -16.40    19.80    2007     0.000
   -16.40    19.80    2008     0.000
   -16.40    19.80    2009     0.000
   -16.40    19.80    2010     0.000
   -16.40    19.80    2011     0.000
   -16.40    19.80    2012     0.000
   -16.40    19.80    2013     0.000
   -16.40    19.80    2014     0.000
   -16.40    19.80    2015     0.000
   -16.40    19.80    2016     0.000
   -16.40    19.80    2017     0.000
   -16.40    19.80    2018     0.000
   -16.40    19.80    2019     0.000
