      Lon      Lat    Year    TrBE   TrIBE    TrBR     C3G     C4G TrShrub   Total
   -16.40    19.80    1981   0.004   0.006   0.005   0.010   0.007   0.002   0.034
   -16.40    19.80    1982   0.004   0.007   0.006   0.002   0.006   0.003   0.029
   -16.40    19.80    1983   0.004   0.007   0.006   0.000   0.004   0.003   0.024
   -16.40    19.80    1984   0.003   0.007   0.006   0.000   0.001   0.002   0.020
   -16.40    19.80    1985   0.002   0.005   0.005   0.000   0.001   0.001   0.014
   -16.40    19.80    1986   0.002   0.004   0.004   0.000   0.001   0.001   0.012
   -16.40    19.80    1987   0.002   0.003   0.004   0.000   0.000   0.001   0.010
   -16.40    19.80    1988   0.002   0.004   0.005   0.000   0.002   0.001   0.013
   -16.40    19.80    1989   0.003   0.006   0.006   0.015   0.003   0.002   0.035
   -16.40    19.80    1990   0.004   0.007   0.006   0.000   0.006   0.003   0.027
   -16.40    19.80    1991   0.005   0.009   0.007   0.005   0.011   0.003   0.040
   -16.40    19.80    1992   0.006   0.010   0.007   0.006   0.013   0.003   0.044
   -16.40    19.80    1993   0.006   0.011   0.008   0.001   0.020   0.004   0.049
   -16.40    19.80    1994   0.007   0.011   0.008   0.006   0.016   0.003   0.052
   -16.40    19.80    1995   0.007   0.010   0.008   0.001   0.010   0.003   0.039
   -16.40    19.80    1996   0.007   0.010   0.007   0.000   0.009   0.003   0.036
   -16.40    19.80    1997   0.005   0.008   0.006   0.000   0.006   0.002   0.028
   -16.40    19.80    1998   0.005   0.007   0.006   0.000   0.016   0.002   0.036
   -16.40    19.80    1999   0.006   0.007   0.006   0.007   0.019   0.003   0.048
   -16.40    19.80    2000   0.006   0.009   0.008   0.014   0.030   0.004   0.070
   -16.40    19.80    2001   0.005   0.009   0.006   0.004   0.016   0.002   0.042
   -16.40    19.80    2002   0.004   0.006   0.004   0.002   0.005   0.001   0.023
   -16.40    19.80    2003   0.003   0.005   0.004   0.000   0.011   0.001   0.024
   -16.40    19.80    2004   0.004   0.008   0.006   0.021   0.046   0.004   0.090
   -16.40    19.80    2005   0.005   0.009   0.005   0.005   0.052   0.002   0.078
   -16.40    19.80    2006   0.006   0.009   0.005   0.018   0.025   0.002   0.066
   -16.40    19.80    2007   0.007   0.010   0.005   0.010   0.020   0.003   0.055
   -16.40    19.80    2008   0.007   0.011   0.004   0.008   0.017   0.002   0.050
   -16.40    19.80    2009   0.005   0.010   0.003   0.003   0.006   0.001   0.028
   -16.40    19.80    2010   0.005   0.009   0.003   0.001   0.003   0.001   0.022
   -16.40    19.80    2011   0.005   0.009   0.003   0.009   0.003   0.001   0.030
   -16.40    19.80    2012   0.006   0.009   0.003   0.000   0.003   0.002   0.023
   -16.40    19.80    2013   0.007   0.010   0.003   0.005   0.004   0.002   0.031
   -16.40    19.80    2014   0.008   0.011   0.003   0.005   0.004   0.002   0.033
   -16.40    19.80    2015   0.008   0.012   0.003   0.001   0.006   0.002   0.031
   -16.40    19.80    2016   0.008   0.012   0.003   0.007   0.005   0.002   0.036
   -16.40    19.80    2017   0.009   0.013   0.003   0.000   0.008   0.003   0.036
   -16.40    19.80    2018   0.010   0.015   0.004   0.017   0.022   0.004   0.072
   -16.40    19.80    2019   0.009   0.014   0.004   0.004   0.008   0.003   0.041
