      Lon      Lat    Year    TrBE   TrIBE    TrBR     C3G     C4G TrShrub   Total
   -16.40    19.80    1981  0.0096  0.0160  0.0151  0.0197  0.0132  0.0067  0.0804
   -16.40    19.80    1982  0.0112  0.0195  0.0188  0.0038  0.0128  0.0107  0.0769
   -16.40    19.80    1983  0.0110  0.0186  0.0184  0.0008  0.0073  0.0080  0.0641
   -16.40    19.80    1984  0.0089  0.0183  0.0177  0.0003  0.0027  0.0045  0.0524
   -16.40    19.80    1985  0.0057  0.0119  0.0133  0.0001  0.0013  0.0020  0.0343
   -16.40    19.80    1986  0.0045  0.0092  0.0116  0.0000  0.0012  0.0018  0.0283
   -16.40    19.80    1987  0.0035  0.0070  0.0098  0.0006  0.0009  0.0017  0.0235
   -16.40    19.80    1988  0.0049  0.0096  0.0122  0.0000  0.0031  0.0034  0.0333
   -16.40    19.80    1989  0.0082  0.0155  0.0169  0.0299  0.0056  0.0067  0.0827
   -16.40    19.80    1990  0.0109  0.0197  0.0188  0.0007  0.0128  0.0078  0.0707
   -16.40    19.80    1991  0.0137  0.0239  0.0210  0.0111  0.0221  0.0097  0.1015
   -16.40    19.80    1992  0.0162  0.0274  0.0208  0.0118  0.0267  0.0084  0.1113
   -16.40    19.80    1993  0.0187  0.0308  0.0232  0.0010  0.0408  0.0110  0.1254
   -16.40    19.80    1994  0.0206  0.0317  0.0232  0.0130  0.0337  0.0093  0.1316
   -16.40    19.80    1995  0.0200  0.0290  0.0214  0.0016  0.0212  0.0078  0.1011
   -16.40    19.80    1996  0.0188  0.0261  0.0200  0.0003  0.0192  0.0072  0.0916
   -16.40    19.80    1997  0.0151  0.0201  0.0170  0.0000  0.0126  0.0054  0.0703
   -16.40    19.80    1998  0.0145  0.0172  0.0157  0.0000  0.0321  0.0068  0.0863
   -16.40    19.80    1999  0.0156  0.0192  0.0164  0.0144  0.0395  0.0073  0.1123
   -16.40    19.80    2000  0.0156  0.0233  0.0199  0.0284  0.0651  0.0098  0.1622
   -16.40    19.80    2001  0.0134  0.0242  0.0142  0.0089  0.0318  0.0052  0.0976
   -16.40    19.80    2002  0.0094  0.0160  0.0106  0.0042  0.0104  0.0029  0.0536
   -16.40    19.80    2003  0.0073  0.0114  0.0095  0.0003  0.0220  0.0029  0.0534
   -16.40    19.80    2004  0.0112  0.0215  0.0160  0.0443  0.1002  0.0098  0.2030
   -16.40    19.80    2005  0.0136  0.0262  0.0126  0.0103  0.1094  0.0064  0.1784
   -16.40    19.80    2006  0.0183  0.0258  0.0138  0.0355  0.0512  0.0074  0.1520
   -16.40    19.80    2007  0.0183  0.0272  0.0132  0.0198  0.0431  0.0077  0.1293
   -16.40    19.80    2008  0.0183  0.0330  0.0115  0.0174  0.0359  0.0056  0.1217
   -16.40    19.80    2009  0.0144  0.0276  0.0073  0.0057  0.0118  0.0023  0.0691
   -16.40    19.80    2010  0.0124  0.0232  0.0075  0.0014  0.0068  0.0040  0.0552
   -16.40    19.80    2011  0.0134  0.0215  0.0074  0.0181  0.0052  0.0040  0.0696
   -16.40    19.80    2012  0.0147  0.0223  0.0081  0.0003  0.0066  0.0050  0.0570
   -16.40    19.80    2013  0.0176  0.0246  0.0088  0.0107  0.0089  0.0065  0.0772
   -16.40    19.80    2014  0.0203  0.0286  0.0091  0.0095  0.0085  0.0061  0.0821
   -16.40    19.80    2015  0.0219  0.0302  0.0092  0.0011  0.0112  0.0065  0.0801
   -16.40    19.80    2016  0.0215  0.0306  0.0079  0.0141  0.0100  0.0064  0.0905
   -16.40    19.80    2017  0.0244  0.0346  0.0089  0.0001  0.0171  0.0083  0.0933
   -16.40    19.80    2018  0.0274  0.0401  0.0120  0.0350  0.0473  0.0112  0.1730
   -16.40    19.80    2019  0.0252  0.0359  0.0090  0.0084  0.0169  0.0077  0.1031
