      Lon      Lat    Year  NH4dep  NO3dep     fix    fert    flux   leach     NEE
   -16.40    19.80    1981   -0.12   -0.44   -0.39   -0.00    0.95    0.00    0.01
   -16.40    19.80    1982   -0.12   -0.44   -0.44   -0.00    0.62    0.00   -0.38
   -16.40    19.80    1983   -0.12   -0.44   -0.39   -0.00    0.69    0.00   -0.26
   -16.40    19.80    1984   -0.12   -0.44   -0.22   -0.00    0.65    0.00   -0.13
   -16.40    19.80    1985   -0.12   -0.44   -0.13   -0.00    0.72    0.00    0.03
   -16.40    19.80    1986   -0.12   -0.44   -0.07   -0.00    0.97    0.00    0.34
   -16.40    19.80    1987   -0.12   -0.44   -0.12   -0.00    1.08    0.00    0.40
   -16.40    19.80    1988   -0.12   -0.44   -0.13   -0.00    1.25    0.00    0.55
   -16.40    19.80    1989   -0.12   -0.44   -0.25   -0.00    0.53    0.00   -0.28
   -16.40    19.80    1990   -0.12   -0.45   -0.37   -0.00    1.03    0.00    0.09
   -16.40    19.80    1991   -0.12   -0.45   -0.46   -0.00    0.93    0.00   -0.10
   -16.40    19.80    1992   -0.12   -0.45   -0.61   -0.00    0.58    0.00   -0.60
   -16.40    19.80    1993   -0.12   -0.45   -0.68   -0.00    0.70    0.00   -0.56
   -16.40    19.80    1994   -0.12   -0.45   -0.69   -0.00    0.59    0.00   -0.68
   -16.40    19.80    1995   -0.12   -0.45   -0.68   -0.00    0.62    0.00   -0.63
   -16.40    19.80    1996   -0.12   -0.45   -0.58   -0.00    0.87    0.00   -0.28
   -16.40    19.80    1997   -0.12   -0.45   -0.50   -0.00    0.89    0.00   -0.18
   -16.40    19.80    1998   -0.12   -0.45   -0.52   -0.00    1.23    0.00    0.13
   -16.40    19.80    1999   -0.12   -0.45   -0.60   -0.00    0.85    0.00   -0.32
   -16.40    19.80    2000   -0.13   -0.44   -0.54   -0.00    0.64    0.00   -0.46
   -16.40    19.80    2001   -0.13   -0.44   -0.37   -0.00    0.76    0.00   -0.18
   -16.40    19.80    2002   -0.13   -0.44   -0.27   -0.00    0.88    0.00    0.04
   -16.40    19.80    2003   -0.13   -0.44   -0.22   -0.00    1.17    0.00    0.39
   -16.40    19.80    2004   -0.13   -0.44   -0.35   -0.00    0.76    0.00   -0.15
   -16.40    19.80    2005   -0.13   -0.44   -0.32   -0.00    0.81    0.00   -0.08
   -16.40    19.80    2006   -0.13   -0.44   -0.65   -0.00    0.48    0.00   -0.73
   -16.40    19.80    2007   -0.13   -0.44   -0.67   -0.00    0.33    0.00   -0.91
   -16.40    19.80    2008   -0.13   -0.44   -0.63   -0.00    0.39    0.00   -0.81
   -16.40    19.80    2009   -0.13   -0.44   -0.50   -0.00    0.54    0.00   -0.52
   -16.40    19.80    2010   -0.13   -0.36   -0.38   -0.00    1.17    0.00    0.29
   -16.40    19.80    2011   -0.13   -0.36   -0.40   -0.00    0.89    0.00    0.00
   -16.40    19.80    2012   -0.13   -0.36   -0.34   -0.00    1.10    0.00    0.27
   -16.40    19.80    2013   -0.13   -0.36   -0.40   -0.00    1.13    0.00    0.23
   -16.40    19.80    2014   -0.13   -0.36   -0.61   -0.00    0.98    0.00   -0.13
   -16.40    19.80    2015   -0.13   -0.36   -0.53   -0.00    1.03    0.00    0.00
   -16.40    19.80    2016   -0.13   -0.36   -0.47   -0.00    1.11    0.00    0.14
   -16.40    19.80    2017   -0.13   -0.36   -0.55   -0.00    1.14    0.00    0.10
   -16.40    19.80    2018   -0.13   -0.36   -0.59   -0.00    0.78    0.00   -0.31
   -16.40    19.80    2019   -0.13   -0.36   -0.47   -0.00    0.75    0.00   -0.22
