      Lon      Lat    Year    TrBE   TrIBE    TrBR     C3G     C4G TrShrub   Total
   -16.40    19.80    1981    0.58    1.02    1.08    3.71    0.60    0.35    7.34
   -16.40    19.80    1982    0.77    1.38    1.33    2.42    0.88    0.51    7.29
   -16.40    19.80    1983    0.93    1.65    1.60    1.27    0.80    0.61    6.86
   -16.40    19.80    1984    0.94    1.81    1.65    0.81    0.57    0.51    6.29
   -16.40    19.80    1985    0.80    1.62    1.55    0.54    0.44    0.31    5.27
   -16.40    19.80    1986    0.59    1.22    1.37    0.39    0.32    0.17    4.05
   -16.40    19.80    1987    0.48    0.96    1.21    0.38    0.23    0.14    3.39
   -16.40    19.80    1988    0.41    0.79    1.08    0.37    0.20    0.13    2.98
   -16.40    19.80    1989    0.47    0.89    1.13    6.04    0.30    0.21    9.04
   -16.40    19.80    1990    0.67    1.25    1.41    3.68    0.45    0.37    7.82
   -16.40    19.80    1991    0.84    1.53    1.57    3.26    0.84    0.37    8.40
   -16.40    19.80    1992    1.05    1.85    1.76    2.30    1.21    0.55    8.72
   -16.40    19.80    1993    1.25    2.19    1.76    1.47    1.34    0.45    8.46
   -16.40    19.80    1994    1.46    2.46    1.95    1.81    1.34    0.51    9.54
   -16.40    19.80    1995    1.56    2.50    2.02    1.22    1.17    0.59    9.06
   -16.40    19.80    1996    1.57    2.43    2.02    0.44    1.17    0.52    8.14
   -16.40    19.80    1997    1.54    2.28    1.97    0.23    1.15    0.48    7.66
   -16.40    19.80    1998    1.35    1.96    1.85    0.18    1.45    0.35    7.14
   -16.40    19.80    1999    1.25    1.71    1.64    1.97    1.76    0.42    8.73
   -16.40    19.80    2000    1.35    1.99    1.70    1.56    2.18    0.51    9.30
   -16.40    19.80    2001    1.34    2.03    1.75    0.78    2.37    0.47    8.75
   -16.40    19.80    2002    1.06    1.58    1.56    0.38    1.73    0.31    6.61
   -16.40    19.80    2003    0.79    1.08    1.30    0.41    1.34    0.24    5.16
   -16.40    19.80    2004    0.77    1.26    1.28    2.84    1.90    0.27    8.32
   -16.40    19.80    2005    0.86    1.35    1.27    1.90    2.21    0.32    7.90
   -16.40    19.80    2006    0.92    1.33    1.26    2.00    2.35    0.38    8.24
   -16.40    19.80    2007    1.29    1.77    1.21    1.21    1.77    0.43    7.68
   -16.40    19.80    2008    1.56    2.19    1.28    0.53    1.39    0.40    7.35
   -16.40    19.80    2009    1.50    2.10    1.24    0.26    0.81    0.31    6.24
   -16.40    19.80    2010    1.21    1.86    1.02    0.15    0.41    0.29    4.95
   -16.40    19.80    2011    1.04    1.52    0.97    3.60    0.32    0.29    7.74
   -16.40    19.80    2012    1.12    1.62    0.94    2.27    0.28    0.26    6.49
   -16.40    19.80    2013    1.23    1.73    1.02    3.75    0.41    0.34    8.49
   -16.40    19.80    2014    1.45    2.04    1.05    2.48    0.54    0.45    8.01
   -16.40    19.80    2015    1.68    2.35    1.11    1.92    0.61    0.41    8.08
   -16.40    19.80    2016    1.81    2.51    1.16    2.53    0.80    0.44    9.24
   -16.40    19.80    2017    1.77    2.59    1.03    1.50    0.73    0.45    8.08
   -16.40    19.80    2018    2.03    3.05    1.13    1.44    1.18    0.57    9.40
   -16.40    19.80    2019    2.19    3.20    1.17    0.97    1.17    0.58    9.28
