      Lon      Lat    Year     VegN  LitterN    SoilN     Total
   -16.40    19.80    1981   0.0007   0.0001   0.0136    0.0144
   -16.40    19.80    1982   0.0007   0.0001   0.0137    0.0145
   -16.40    19.80    1983   0.0007   0.0001   0.0138    0.0145
   -16.40    19.80    1984   0.0006   0.0001   0.0138    0.0145
   -16.40    19.80    1985   0.0005   0.0001   0.0139    0.0145
   -16.40    19.80    1986   0.0004   0.0001   0.0140    0.0145
   -16.40    19.80    1987   0.0003   0.0001   0.0140    0.0144
   -16.40    19.80    1988   0.0003   0.0000   0.0140    0.0144
   -16.40    19.80    1989   0.0009   0.0000   0.0135    0.0144
   -16.40    19.80    1990   0.0008   0.0000   0.0136    0.0144
   -16.40    19.80    1991   0.0008   0.0001   0.0135    0.0144
   -16.40    19.80    1992   0.0009   0.0001   0.0136    0.0145
   -16.40    19.80    1993   0.0008   0.0001   0.0136    0.0145
   -16.40    19.80    1994   0.0010   0.0001   0.0136    0.0146
   -16.40    19.80    1995   0.0009   0.0001   0.0137    0.0147
   -16.40    19.80    1996   0.0008   0.0001   0.0138    0.0147
   -16.40    19.80    1997   0.0008   0.0001   0.0139    0.0147
   -16.40    19.80    1998   0.0007   0.0000   0.0139    0.0147
   -16.40    19.80    1999   0.0009   0.0001   0.0138    0.0147
   -16.40    19.80    2000   0.0009   0.0001   0.0138    0.0148
   -16.40    19.80    2001   0.0009   0.0001   0.0139    0.0148
   -16.40    19.80    2002   0.0007   0.0001   0.0140    0.0148
   -16.40    19.80    2003   0.0005   0.0001   0.0141    0.0147
   -16.40    19.80    2004   0.0008   0.0001   0.0138    0.0148
   -16.40    19.80    2005   0.0008   0.0001   0.0139    0.0148
   -16.40    19.80    2006   0.0008   0.0002   0.0139    0.0148
   -16.40    19.80    2007   0.0008   0.0002   0.0140    0.0149
   -16.40    19.80    2008   0.0007   0.0001   0.0141    0.0150
   -16.40    19.80    2009   0.0006   0.0001   0.0143    0.0151
   -16.40    19.80    2010   0.0005   0.0001   0.0144    0.0150
   -16.40    19.80    2011   0.0008   0.0001   0.0141    0.0150
   -16.40    19.80    2012   0.0006   0.0001   0.0143    0.0150
   -16.40    19.80    2013   0.0008   0.0001   0.0141    0.0150
   -16.40    19.80    2014   0.0008   0.0001   0.0141    0.0150
   -16.40    19.80    2015   0.0008   0.0001   0.0141    0.0150
   -16.40    19.80    2016   0.0009   0.0001   0.0140    0.0150
   -16.40    19.80    2017   0.0008   0.0001   0.0141    0.0150
   -16.40    19.80    2018   0.0009   0.0001   0.0140    0.0150
   -16.40    19.80    2019   0.0009   0.0001   0.0140    0.0150
