      Lon      Lat    Year  NH4dep  NO3dep     fix    fert   input     min     imm  netmin   Total
   -16.40    19.80    1981    0.12    0.44    0.39    0.00    0.95    6.49    2.42    4.07    5.02
   -16.40    19.80    1982    0.12    0.44    0.44    0.00    1.00    4.90    2.17    2.73    3.73
   -16.40    19.80    1983    0.12    0.44    0.39    0.00    0.95    5.57    2.85    2.72    3.67
   -16.40    19.80    1984    0.12    0.44    0.22    0.00    0.78    5.40    2.90    2.50    3.28
   -16.40    19.80    1985    0.12    0.44    0.13    0.00    0.69    5.41    3.11    2.30    2.99
   -16.40    19.80    1986    0.12    0.44    0.07    0.00    0.63    5.43    3.37    2.06    2.69
   -16.40    19.80    1987    0.12    0.44    0.12    0.00    0.68    4.88    2.88    2.00    2.68
   -16.40    19.80    1988    0.12    0.44    0.13    0.00    0.69    3.86    1.87    1.98    2.68
   -16.40    19.80    1989    0.12    0.44    0.25    0.00    0.81    2.95    0.88    2.07    2.88
   -16.40    19.80    1990    0.12    0.45    0.37    0.00    0.94    4.48    0.80    3.68    4.62
   -16.40    19.80    1991    0.12    0.45    0.46    0.00    1.04    5.25    1.40    3.85    4.89
   -16.40    19.80    1992    0.12    0.45    0.61    0.00    1.18    4.61    0.79    3.82    5.01
   -16.40    19.80    1993    0.12    0.45    0.68    0.00    1.25    5.03    2.22    2.81    4.06
   -16.40    19.80    1994    0.12    0.45    0.69    0.00    1.27    5.88    2.13    3.74    5.01
   -16.40    19.80    1995    0.12    0.45    0.68    0.00    1.26    6.13    2.87    3.25    4.51
   -16.40    19.80    1996    0.12    0.45    0.58    0.00    1.15    7.60    4.38    3.21    4.36
   -16.40    19.80    1997    0.12    0.45    0.50    0.00    1.07    7.23    4.20    3.03    4.10
   -16.40    19.80    1998    0.12    0.45    0.52    0.00    1.10    7.18    4.07    3.11    4.21
   -16.40    19.80    1999    0.12    0.45    0.60    0.00    1.18    6.21    2.81    3.39    4.57
   -16.40    19.80    2000    0.13    0.44    0.54    0.00    1.11    5.74    2.50    3.23    4.34
   -16.40    19.80    2001    0.13    0.44    0.37    0.00    0.94    7.65    4.47    3.18    4.12
   -16.40    19.80    2002    0.13    0.44    0.27    0.00    0.83    7.38    4.68    2.69    3.53
   -16.40    19.80    2003    0.13    0.44    0.22    0.00    0.79    8.12    5.70    2.42    3.21
   -16.40    19.80    2004    0.13    0.44    0.35    0.00    0.91    6.75    3.86    2.89    3.81
   -16.40    19.80    2005    0.13    0.44    0.32    0.00    0.89    7.28    3.82    3.46    4.35
   -16.40    19.80    2006    0.13    0.44    0.65    0.00    1.21    8.34    4.94    3.40    4.61
   -16.40    19.80    2007    0.13    0.44    0.67    0.00    1.23    8.28    5.88    2.40    3.63
   -16.40    19.80    2008    0.13    0.44    0.63    0.00    1.20    9.73    7.40    2.34    3.54
   -16.40    19.80    2009    0.13    0.44    0.50    0.00    1.06    9.48    7.26    2.22    3.28
   -16.40    19.80    2010    0.13    0.36    0.38    0.00    0.88    9.99    7.48    2.51    3.38
   -16.40    19.80    2011    0.13    0.36    0.40    0.00    0.89    8.09    4.94    3.14    4.04
   -16.40    19.80    2012    0.13    0.36    0.34    0.00    0.83    7.70    4.45    3.25    4.08
   -16.40    19.80    2013    0.13    0.36    0.40    0.00    0.90    8.93    4.62    4.31    5.21
   -16.40    19.80    2014    0.13    0.36    0.61    0.00    1.11    7.32    3.47    3.85    4.96
   -16.40    19.80    2015    0.13    0.36    0.53    0.00    1.02    7.05    3.75    3.31    4.33
   -16.40    19.80    2016    0.13    0.36    0.47    0.00    0.97    7.50    3.08    4.43    5.40
   -16.40    19.80    2017    0.13    0.36    0.55    0.00    1.04    7.28    3.32    3.96    5.01
   -16.40    19.80    2018    0.13    0.36    0.59    0.00    1.08    6.93    2.58    4.35    5.44
   -16.40    19.80    2019    0.13    0.36    0.47    0.00    0.97    6.90    3.31    3.59    4.56
