      Lon      Lat    Year         NH3          NO         N2O          N2
   -16.40    19.80    1981    0.002360    0.499283    0.451141    0.000000
   -16.40    19.80    1982    0.001798    0.334777    0.283562    0.000000
   -16.40    19.80    1983    0.002023    0.379631    0.306580    0.000000
   -16.40    19.80    1984    0.002102    0.370537    0.281365    0.000000
   -16.40    19.80    1985    0.002326    0.415842    0.303576    0.000000
   -16.40    19.80    1986    0.002820    0.535442    0.434558    0.000000
   -16.40    19.80    1987    0.002919    0.579170    0.493984    0.000000
   -16.40    19.80    1988    0.002183    0.632574    0.611316    0.000000
   -16.40    19.80    1989    0.000967    0.270483    0.257458    0.000000
   -16.40    19.80    1990    0.002015    0.528353    0.501291    0.000000
   -16.40    19.80    1991    0.002200    0.487033    0.443078    0.000000
   -16.40    19.80    1992    0.001473    0.305774    0.275092    0.000000
   -16.40    19.80    1993    0.001690    0.367311    0.326309    0.000000
   -16.40    19.80    1994    0.001529    0.311739    0.278337    0.000000
   -16.40    19.80    1995    0.001505    0.330520    0.291181    0.000000
   -16.40    19.80    1996    0.002128    0.459475    0.409976    0.000000
   -16.40    19.80    1997    0.002415    0.479881    0.404059    0.000000
   -16.40    19.80    1998    0.002635    0.636923    0.589060    0.000000
   -16.40    19.80    1999    0.001851    0.444333    0.408154    0.000000
   -16.40    19.80    2000    0.001819    0.349514    0.291815    0.000000
   -16.40    19.80    2001    0.002080    0.413983    0.340479    0.000000
   -16.40    19.80    2002    0.002501    0.477231    0.399979    0.000000
   -16.40    19.80    2003    0.002937    0.628703    0.540508    0.000000
   -16.40    19.80    2004    0.001719    0.396922    0.362572    0.000000
   -16.40    19.80    2005    0.001507    0.416503    0.396935    0.000000
   -16.40    19.80    2006    0.000985    0.249485    0.230848    0.000000
   -16.40    19.80    2007    0.000870    0.174671    0.150544    0.000000
   -16.40    19.80    2008    0.001099    0.216821    0.175770    0.000000
   -16.40    19.80    2009    0.001549    0.302612    0.238735    0.000000
   -16.40    19.80    2010    0.002594    0.618696    0.547362    0.000000
   -16.40    19.80    2011    0.001861    0.462386    0.430198    0.000000
   -16.40    19.80    2012    0.002375    0.574887    0.523927    0.000000
   -16.40    19.80    2013    0.002202    0.582362    0.544394    0.000000
   -16.40    19.80    2014    0.002154    0.508844    0.466672    0.000000
   -16.40    19.80    2015    0.002470    0.547208    0.477398    0.000000
   -16.40    19.80    2016    0.002713    0.587983    0.521269    0.000000
   -16.40    19.80    2017    0.002420    0.593466    0.544339    0.000000
   -16.40    19.80    2018    0.001804    0.406520    0.367280    0.000000
   -16.40    19.80    2019    0.001956    0.402749    0.341579    0.000000
