      Lon      Lat    Year        NH4        NO3        NO2         NO        N2O         N2
   -16.40    19.80    1981     0.3414     0.6130     0.0001     0.0004     0.0003     0.0000
   -16.40    19.80    1982     0.6183     0.7007     0.0000     0.0004     0.0003     0.0000
   -16.40    19.80    1983     0.7488     0.8255     0.0000     0.0004     0.0003     0.0000
   -16.40    19.80    1984     0.8943     0.9533     0.0000     0.0004     0.0003     0.0000
   -16.40    19.80    1985     1.1175     1.4239     0.0001     0.0005     0.0004     0.0000
   -16.40    19.80    1986     1.0090     2.3830     0.0003     0.0010     0.0008     0.0000
   -16.40    19.80    1987     0.8488     3.3280     0.0006     0.0007     0.0006     0.0000
   -16.40    19.80    1988     0.4677     4.4777     0.0068     0.0011     0.0011     0.0000
   -16.40    19.80    1989     0.0557     0.0311     0.0000     0.0001     0.0001     0.0000
   -16.40    19.80    1990     0.4561     1.1076     0.0002     0.0007     0.0006     0.0000
   -16.40    19.80    1991     0.2248     0.3240     0.0001     0.0005     0.0005     0.0000
   -16.40    19.80    1992     0.4458     0.5066     0.0000     0.0004     0.0004     0.0000
   -16.40    19.80    1993     0.4884     0.6732     0.0001     0.0008     0.0008     0.0000
   -16.40    19.80    1994     0.1868     0.1184     0.0000     0.0002     0.0002     0.0000
   -16.40    19.80    1995     0.4594     0.4466     0.0000     0.0005     0.0004     0.0000
   -16.40    19.80    1996     0.5973     0.7288     0.0001     0.0006     0.0005     0.0000
   -16.40    19.80    1997     0.7554     0.9036     0.0001     0.0005     0.0004     0.0000
   -16.40    19.80    1998     0.6405     1.5730     0.0010     0.0014     0.0013     0.0000
   -16.40    19.80    1999     0.2839     0.8103     0.0011     0.0004     0.0003     0.0000
   -16.40    19.80    2000     0.5066     0.4587     0.0000     0.0003     0.0003     0.0000
   -16.40    19.80    2001     0.5248     0.5082     0.0001     0.0006     0.0005     0.0000
   -16.40    19.80    2002     0.8688     1.0932     0.0001     0.0005     0.0004     0.0000
   -16.40    19.80    2003     0.6664     1.6879     0.0024     0.0014     0.0013     0.0000
   -16.40    19.80    2004     0.0875     0.0562     0.0000     0.0002     0.0002     0.0000
   -16.40    19.80    2005     0.2979     0.7658     0.0008     0.0009     0.0008     0.0000
   -16.40    19.80    2006     0.1224     0.1374     0.0002     0.0002     0.0002     0.0000
   -16.40    19.80    2007     0.2728     0.1859     0.0000     0.0002     0.0002     0.0000
   -16.40    19.80    2008     0.3660     0.2546     0.0000     0.0002     0.0002     0.0000
   -16.40    19.80    2009     0.7120     0.6509     0.0001     0.0003     0.0003     0.0000
   -16.40    19.80    2010     0.7103     1.5294     0.0020     0.0017     0.0016     0.0000
   -16.40    19.80    2011     0.2824     0.2568     0.0000     0.0004     0.0003     0.0000
   -16.40    19.80    2012     0.6524     1.3123     0.0009     0.0013     0.0013     0.0000
   -16.40    19.80    2013     0.1507     0.0798     0.0000     0.0003     0.0003     0.0000
   -16.40    19.80    2014     0.6514     0.8881     0.0001     0.0007     0.0007     0.0000
   -16.40    19.80    2015     0.6822     1.0658     0.0004     0.0010     0.0009     0.0000
   -16.40    19.80    2016     0.3483     0.3216     0.0002     0.0007     0.0007     0.0000
   -16.40    19.80    2017     0.6394     1.1116     0.0011     0.0013     0.0012     0.0000
   -16.40    19.80    2018     0.5190     0.5292     0.0001     0.0005     0.0004     0.0000
   -16.40    19.80    2019     0.6677     0.6428     0.0001     0.0004     0.0004     0.0000
