      Lon      Lat    Year    Surf   Drain    Base    Total
   -16.40    19.80    1981     0.0     0.2     0.0      0.2
   -16.40    19.80    1982     0.0     0.0     0.0      0.0
   -16.40    19.80    1983     0.0     0.0     0.0      0.0
   -16.40    19.80    1984     0.0     0.0     0.0      0.0
   -16.40    19.80    1985     0.0     0.0     0.0      0.0
   -16.40    19.80    1986     0.0     0.0     0.0      0.0
   -16.40    19.80    1987     0.0     0.0     0.0      0.0
   -16.40    19.80    1988     0.0     0.0     0.0      0.0
   -16.40    19.80    1989     0.0     0.1     0.0      0.1
   -16.40    19.80    1990     0.0     0.2     0.0      0.2
   -16.40    19.80    1991     0.0     0.0     0.0      0.0
   -16.40    19.80    1992     0.0     0.0     0.0      0.0
   -16.40    19.80    1993     0.0     0.0     0.0      0.0
   -16.40    19.80    1994     0.0     0.0     0.0      0.0
   -16.40    19.80    1995     0.0     0.0     0.0      0.0
   -16.40    19.80    1996     0.0     0.0     0.0      0.0
   -16.40    19.80    1997     0.0     0.0     0.0      0.0
   -16.40    19.80    1998     0.0     0.0     0.0      0.0
   -16.40    19.80    1999     0.0     0.0     0.0      0.0
   -16.40    19.80    2000     0.0     0.0     0.0      0.0
   -16.40    19.80    2001     0.0     0.0     0.0      0.0
   -16.40    19.80    2002     0.0     0.0     0.0      0.0
   -16.40    19.80    2003     0.0     0.0     0.0      0.0
   -16.40    19.80    2004     0.0     0.0     0.0      0.0
   -16.40    19.80    2005     0.0     0.0     0.0      0.0
   -16.40    19.80    2006     0.0     0.0     0.0      0.0
   -16.40    19.80    2007     0.0     0.0     0.0      0.0
   -16.40    19.80    2008     0.0     0.0     0.0      0.0
   -16.40    19.80    2009     0.0     0.0     0.0      0.0
   -16.40    19.80    2010     0.0     0.0     0.0      0.0
   -16.40    19.80    2011     0.0     0.0     0.0      0.0
   -16.40    19.80    2012     0.0     0.0     0.0      0.0
   -16.40    19.80    2013     0.0     0.0     0.0      0.0
   -16.40    19.80    2014     0.0     0.0     0.0      0.0
   -16.40    19.80    2015     0.0     0.0     0.0      0.0
   -16.40    19.80    2016     0.0     0.0     0.0      0.0
   -16.40    19.80    2017     0.0     0.0     0.0      0.0
   -16.40    19.80    2018     0.0     0.0     0.0      0.0
   -16.40    19.80    2019     0.0     0.0     0.0      0.0
